"PK","SK","allocationDate","bookingId","capacity","checkin","checkout","code","createdAt","email","entity","GSI1PK","GSI1SK","GSI2PK","GSI2SK","guests","id","name","notes","roomIds","status","ttl","used"
"INVITATION_CODE#JZE3-TRZN-R89T","METADATA","","","","","","JZE3-TRZN-R89T","","","","","","","","","","","","","","1773930462","true"
"BOOKING#6a5eb9e5-43f9-4310-8e23-e2b27b14dc25","META","","","","2026-03-18","2026-03-24","","2026-03-12T14:26:21.941921Z","c","Booking","","","c","2UHP-H4FN-ASR8","2","","c","c","[{""S"":""room-4-mmnk7psr""}]","PENDING","1782086400",""
"INVITATION_CODE#D2MA-U5B6-94W5","METADATA","","","","","","D2MA-U5B6-94W5","","","","","","","","","","","","","","1773930582","true"
"INVITATION_CODE#2UHP-H4FN-ASR8","METADATA","","","","","","2UHP-H4FN-ASR8","","","","","","","","","","","","","","1773930365","true"
"ROOM#room-4-mmnk7psr","DATE#2026-03-13","2026-03-13","ae786ab1-a9f2-4501-9cc7-8fa81722c8d9","","","","","","","Allocation","BOOKING#ae786ab1-a9f2-4501-9cc7-8fa81722c8d9","DATE#2026-03-13","DATE#2026-03","DATE#2026-03-13#ROOM#room-4-mmnk7psr","","","","","","","1781481600",""
"ROOM#room-4-mmnk7psr","DATE#2026-03-14","2026-03-14","ae786ab1-a9f2-4501-9cc7-8fa81722c8d9","","","","","","","Allocation","BOOKING#ae786ab1-a9f2-4501-9cc7-8fa81722c8d9","DATE#2026-03-14","DATE#2026-03","DATE#2026-03-14#ROOM#room-4-mmnk7psr","","","","","","","1781481600",""
"ROOM#room-4-mmnk7psr","DATE#2026-03-15","2026-03-15","ae786ab1-a9f2-4501-9cc7-8fa81722c8d9","","","","","","","Allocation","BOOKING#ae786ab1-a9f2-4501-9cc7-8fa81722c8d9","DATE#2026-03-15","DATE#2026-03","DATE#2026-03-15#ROOM#room-4-mmnk7psr","","","","","","","1781481600",""
"ROOM#room-4-mmnk7psr","DATE#2026-03-16","2026-03-16","ae786ab1-a9f2-4501-9cc7-8fa81722c8d9","","","","","","","Allocation","BOOKING#ae786ab1-a9f2-4501-9cc7-8fa81722c8d9","DATE#2026-03-16","DATE#2026-03","DATE#2026-03-16#ROOM#room-4-mmnk7psr","","","","","","","1781481600",""
"ROOM#room-4-mmnk7psr","DATE#2026-03-18","2026-03-18","6a5eb9e5-43f9-4310-8e23-e2b27b14dc25","","","","","","","Allocation","BOOKING#6a5eb9e5-43f9-4310-8e23-e2b27b14dc25","DATE#2026-03-18","DATE#2026-03","DATE#2026-03-18#ROOM#room-4-mmnk7psr","","","","","","","1782086400",""
"ROOM#room-4-mmnk7psr","DATE#2026-03-19","2026-03-19","6a5eb9e5-43f9-4310-8e23-e2b27b14dc25","","","","","","","Allocation","BOOKING#6a5eb9e5-43f9-4310-8e23-e2b27b14dc25","DATE#2026-03-19","DATE#2026-03","DATE#2026-03-19#ROOM#room-4-mmnk7psr","","","","","","","1782086400",""
"ROOM#room-4-mmnk7psr","DATE#2026-03-20","2026-03-20","6a5eb9e5-43f9-4310-8e23-e2b27b14dc25","","","","","","","Allocation","BOOKING#6a5eb9e5-43f9-4310-8e23-e2b27b14dc25","DATE#2026-03-20","DATE#2026-03","DATE#2026-03-20#ROOM#room-4-mmnk7psr","","","","","","","1782086400",""
"ROOM#room-4-mmnk7psr","DATE#2026-03-21","2026-03-21","6a5eb9e5-43f9-4310-8e23-e2b27b14dc25","","","","","","","Allocation","BOOKING#6a5eb9e5-43f9-4310-8e23-e2b27b14dc25","DATE#2026-03-21","DATE#2026-03","DATE#2026-03-21#ROOM#room-4-mmnk7psr","","","","","","","1782086400",""
"ROOM#room-4-mmnk7psr","DATE#2026-03-22","2026-03-22","6a5eb9e5-43f9-4310-8e23-e2b27b14dc25","","","","","","","Allocation","BOOKING#6a5eb9e5-43f9-4310-8e23-e2b27b14dc25","DATE#2026-03-22","DATE#2026-03","DATE#2026-03-22#ROOM#room-4-mmnk7psr","","","","","","","1782086400",""
"ROOM#room-4-mmnk7psr","DATE#2026-03-23","2026-03-23","6a5eb9e5-43f9-4310-8e23-e2b27b14dc25","","","","","","","Allocation","BOOKING#6a5eb9e5-43f9-4310-8e23-e2b27b14dc25","DATE#2026-03-23","DATE#2026-03","DATE#2026-03-23#ROOM#room-4-mmnk7psr","","","","","","","1782086400",""
